Attribute,Feed,Preheater_1_outlet,Preheater_1_energy,Pump_1_outlet,Pump_1_energy,Reactor_1_outlet,Reactor_1_energy,Cooler_1_outlet,Cooler_1_energy,Distillation_1_liquid,Distillation_1_vapor,Distillation_1_energy
Equipment,Feed_stream,Preheater_1,Preheater_1,Pump_1,Pump_1,Reactor_1,Reactor_1,Cooler_1,Cooler_1,Distillation_1,Distillation_1,Distillation_1
Temperature (C),95,95,,95,,95,,150,,150,150,
Pressure (bar),13,13,,13,,13,,13,,13,13,
Molar Flowrate (mol/s),26.13787222,26.13787222,,26.13787222,,120,,120,,60.0,60.0,
Mole Fraction,,,,,,,,,,,,
Benzene,0.36035963144669475,0.36035963144669475,,0.36035963144669475,,0.3,,0.3,,0.3,0.3,
Ethylene,0.36035963144669475,0.36035963144669475,,0.36035963144669475,,0.3,,0.3,,0.3,0.3,
Ethylbenzene,0.0,0.0,,0.0,,,,,,,,
Energy,,,125,,5.5,,834,,6001,,,215
Ethyl Benzene,,,,,,0.4,,0.4,,0.4,0.4,
